StartDate,EndDate,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,A_.0,E.1,E.2,A.1_1,A.1_2,A.1_3,A.1_4,A.1_5,A.1_6,A.1_7,A.1_8,A.1_9,A.1_10,A.1_11,A.1_12,A.1_13,A.2_1,A.2.1a,A.2.1b,A.3_1,A.3_1_TEXT,A.3_1_Text_Freq,A.3_2,A.3_2_TEXT,A.3_2_TEXT_Freq,A.3_3,A.3_3_TEXT,A.3_3_TEXT_Freq,A.4,A.5,A.5_Descript_Code,A.6,A.6_a,A.7_1,A.8,A.8_1a,B.2,B.3,B.4,B.4_1,B.5,B.5_A,B.5_B,B.5_C,B.6,B.6_A,B.7,B.8_1,B.8_2,B.8_3,B.8_4,B.8_5,B.8_6,B.9__1,B.9__1_TEXT,B.9_1_TEXT_Category,B.9__2,B.9__2_TEXT,B.9_2_TEXT_Category,B.9__3,B.9__3_TEXT,B.9_3_TEXT_Category,B.10_1,B.10_2,B.10_3,B.10_4,B.10_5,B.10_6,B.10_7,B.10_8,B.10_9,B.10_10,B.11__1,B.11__1_TEXT,B.11_1_Category,B.11__2,B.11__2_TEXT,B.11_2_Category,B.11__3,B.11__3_TEXT,B.11_3_Category,B.12,B.12_A,B.12_B,C.1,C.3,C.4,C.4_16_TEXT,C.5,C.6,C.6_14_TEXT,C.7,C.8,C.8_11_TEXT,C.9,C.10,C.10_1,C.10_1_Classes,C.11,C.11_1,C.11_2,C.11_3,C.11_4,C.11_5,C.11_5_TEXT,D,filter_$,C.10_1_Classfix
2/25/2024 7:48:55,2/25/2024 7:52:16,100,200,1,2/25/2024 7:52:17,R_4eQoaMlTNagm3cF,1.2868,103.8503,EN,1,55,1,4,4,4,4,4,3,3,3,2,3,4,4,3, , , ,3, , ,3, , ,4, , ,1, , , , ,4, , ,1,1,ojhhohh, ,ohoihoho, , , , , ,1,4,3,4,3,3,3,4,fgfg, ,3,gfgdf, ,3,fgfgfg, ,2,2,2,2,2,2,1,1,1,2,2,hfggf, ,2,ghg, ,3,ghgh, ,hjhghfd, , ,1,10,12, ,11,10, ,12,6, ,5,rt, , ,25, , , , , , ,26,1, 
2/19/2024 7:01:32,2/19/2024 7:44:29,100,2576,1,2/19/2024 7:44:30,R_1CkaEdQgQ2RC4LU,33.4772,-84.0554,EN,1,4,1,5,4,4,4,3,4,6,4,4,3,5,4,4,Take care of family members   I think it's important as parents to care for our children and provide a safe and fun environment to meet all of our needs,7,4,4,Medical care, ,5,hypermarket,0,6,After-school tutoring,1,2, , , , ,5,Many businesses were shut down,5,1,2, , , , , , ,"This aspect has not been paid attention to before, and will be actively used in the future",4,1,5,6,3,3,5,6,6,"Auxiliary services: such as printing, copying, scanning, fax, etc., to facilitate residents to deal with daily affairs.", ,7,"Special services: such as services for the visually impaired, elderly services, immigration services, etc., to meet the needs of specific groups.", ,6,Loan service, ,4,3,3,4,4,3,4,4,3,4,3,"The library can organize various cultural activities such as lectures, exhibitions, film screenings and art performances", ,4,"In addition to providing a comfortable reading environment, books can also provide a space for community activities and discussions, and promote communication and interaction among community residents.", ,2,"A wide variety of books, periodicals, newspapers, electronic resources, etc", ,"During the epidemic, public libraries may adjust their service scope and opening hours, or even temporarily close some facilities, to meet the needs of epidemic prevention and control, which may affect people's expectations of library services", , ,2,11,12, ,14,10, ,12,4, ,5,quadrennial,40,5,26,1,1, , , , ,27,1,8
2/18/2024 18:43:23,2/18/2024 18:46:38,100,194,1,2/18/2024 18:46:38,R_6zTvHfJtAIXeh45,42.6406,-73.7906,EN,1,4,1,7,5,5,6,6,3,5,2,5,5,3,5,2,no, , ,5, , ,6, , ,6, , ,1,no, ,no, ,4,no,8,1,1,no, ,no, , , , , ,1,2,2,4,1,7,2,4, , ,3, , ,6, , ,2,3,4,2,3,3,1,1,3,2,2, , ,1, , ,2, , ,no, , ,1,10,13, ,16,11, ,13,4, ,4,NY, , ,25, , , , , , ,27,1, 
2/18/2024 18:43:26,2/18/2024 18:46:47,100,201,1,2/18/2024 18:46:48,R_3teTZVZchHPlPDS,42.6406,-73.7906,EN,1,55,1,2,5,6,2,5,6,5,4,6,7,3,7,2,no, , ,7, , ,6, , ,3, , ,1,no, ,no, ,4,no,8,1,1,no, ,no, , , , , ,1,4,3,2,4,5,4,2, , ,3, , ,3, , ,3,2,3,1,2,2,3,2,1,4,1, , ,3, , ,4, , ,no, , ,1,10,13, ,16,10, ,13,4, ,4,NY, , ,25, , , , , , ,26,1, 
2/19/2024 0:42:52,2/19/2024 1:00:12,100,1040,1,2/19/2024 1:00:13,R_1a6shoq2KLoH5aV,34.0544,-118.2441,EN,1,59,1,4,3,4,2,5,4,2,3,6,3,3,7,7,no, , ,4, , ,3, , ,5, , ,2, , , , ,4,no,8,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,1,2,4,3,2,4,2,4,2,4,3, , ,2, , ,4, , ,no, , ,1,10,13, ,14,11, ,13,4, ,4,NY, , ,25, , , , , , ,26,1, 
2/19/2024 0:43:18,2/19/2024 1:00:19,100,1021,1,2/19/2024 1:00:19,R_7n9qjS22TJP5Top,34.0544,-118.2441,EN,1,60,1,3,5,3,2,3,2,4,1,2,7,6,3,3,no, , ,6, , ,3, , ,3, , ,2, , , , ,4,no,8,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,2,3,3,2,2,2,3,3,2,2,2, , ,1, , ,2, , ,no, , ,1,10,13, ,14,9, ,13,4, ,4,NY, , ,25, , , , , , ,26,1, 
2/19/2024 0:43:32,2/19/2024 1:00:34,100,1022,1,2/19/2024 1:00:34,R_6g5RXeYjRouba2X,34.0544,-118.2441,EN,1,62,1,2,3,3,6,1,6,5,4,4,1,5,3,4,no, , ,7, , ,2, , ,3, , ,2, , , , ,3,no,8,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,4,2,3,1,2,1,3,4,1,3,2, , ,4, , ,2, , ,no, , ,1,10,13, ,14,11, ,13,4, ,4,NY, , ,25, , , , , , ,26,1, 
2/19/2024 0:44:32,2/19/2024 1:00:24,100,952,1,2/19/2024 1:00:25,R_7ouSzoIv0CtKlXT,34.0544,-118.2441,EN,1,61,1,5,4,7,5,3,2,5,3,3,3,2,6,2,no, , ,1, , ,2, , ,2, , ,2, , , , ,4,no,8,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,3,3,3,2,4,1,4,2,2,3,3, , ,1, , ,3, , ,no, , ,1,10,13, ,14,10, ,13,4, ,4,NY, , ,25, , , , , , ,26,1, 
2/18/2024 19:48:47,2/18/2024 19:53:53,100,306,1,2/18/2024 19:53:54,R_19xKd6XtG5D0w0N,42.6406,-73.7906,EN,1,56,1,6,7,6,7,6,1,5,6,6,4,4,3,4,no, , ,4, , ,6, , ,5, , ,1, , , , ,4, , ,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,2,1,4,3,3,3,3,4,3,4,3, , ,1, , ,3, , , , , ,2,10,13, ,14,8, ,13,4, ,4,no, , ,25, , , , , , ,26,1, 
2/18/2024 19:48:50,2/18/2024 19:53:58,100,308,1,2/18/2024 19:53:59,R_1dMPnp4hfP6bsZO,42.6406,-73.7906,EN,1,57,1,2,6,6,4,6,3,5,2,2,6,3,4,3,no, , ,7, , ,6, , ,3, , ,1, , , , ,4, , ,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,3,4,2,3,3,4,3,3,1,2,3, , ,2, , ,1, , , , , ,2,10,13, ,14,9, ,13,4, ,4,no, , ,25, , , , , , ,26,1, 
2/18/2024 19:48:52,2/18/2024 19:54:04,100,311,1,2/18/2024 19:54:04,R_5FOGrFjybRWYGLI,42.6406,-73.7906,EN,1,58,1,7,1,6,3,5,5,5,2,6,6,5,5,6,no, , ,6, , ,3, , ,7, , ,2, , , , ,4, , ,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,4,4,2,1,2,4,2,3,1,2,3, , ,3, , ,2, , , , , ,1,10,13, ,14,10, ,12,4, ,4,no, , ,25, , , , , , ,26,1, 
2/18/2024 19:48:56,2/18/2024 19:54:08,100,311,1,2/18/2024 19:54:09,R_5Kdu6mViJcuqT9z,42.6406,-73.7906,EN,1,59,1,4,7,5,3,3,2,3,3,3,5,2,5,6,no, , ,3, , ,2, , ,4, , ,2, , , , ,4, , ,2,-99, , , , , , ,no,1,2,-99,-99,-99,-99,-99,-99, , , , , , , , , ,3,3,1,2,3,3,4,2,3,2,4, , ,3, , ,2, , , , , ,1,10,13, ,14,10, ,13,4, ,4,no, , ,25, , , , , , ,26,1, 
2/21/2024 20:21:14,2/21/2024 20:34:18,100,783,1,2/21/2024 20:34:18,R_7Mycwd1xtwsCnwl,34.0544,-118.2441,EN,1,4,1,3,2,3,2,3,3,3,4,3,4,4,4,3, , , ,1, , ,1, , ,1, , ,2, , , , ,4,It will definitely have an impact. Increase hygiene management and epidemic prevention and hygiene,2,3,-99, , , , , , , , ,3,1,1,1,1,1,1,1, , ,1, , ,1, , ,4,4,4,4,4,4,4,4,4,4,4, , ,4, , ,4, , ,No impact, , ,1,12,13, ,13,9, ,12,4, ,5,More than one year,1,1,26, ,1,1,1, , ,26,1,1
3/3/2024 4:19:44,3/3/2024 6:06:45,100,6420,1,3/3/2024 6:06:45,R_3e8PGeoYfHldCOT,34.0544,-118.2441,EN,1,4,1,7,7,6,7,7,7,7,7,7,7,7,7,7,Educational Resources,5, ,7,Security Question,0,7,housing issue,0,-99,Childcare issues,0,1,housing issue, , , ,4,Yes, ,1,1, , , , , , , , ,1,6,6,7,7,7,6,7, , ,7, , ,6, , ,4,4,4,4,4,4,4,4,4,4,4, , ,4, , ,4, , , , , ,1,11,13, ,16,10, ,12,4, ,5,More than 20 years,20,4,25, , , , , , ,26,1,4
2/21/2024 1:14:43,2/21/2024 1:23:27,100,524,1,2/21/2024 1:23:28,R_15tgyZhlpQoTxkt,34.0544,-118.2441,EN,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7, , , ,4, , ,4, , ,4, , ,1, , , , ,2, , ,1,1, , , , , , , , ,1,1,2,3,2,3,3,2, , ,2, , ,1, , ,4,3,3,2,4,4,4,4,4,4,4, , ,3, , ,4, , , , , ,1,10,12, ,17,11, ,12,4, ,5,More than 20 years,20,4,26, ,1, , , , ,26,1,4
3/3/2024 2:14:33,3/3/2024 2:25:49,100,675,1,3/3/2024 2:25:49,R_1co3AFU7KH7Npmk,37.1835,-121.7714,EN,1,57,1,3,4,4,4,4,4,4,4,4,4,4,4,4,not have, , ,1, , ,1, , ,1, , ,2, , , , ,7, , ,1,1, , ,be satisfied,2, , , , ,1,7,7,7,7,7,7, , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,-99, , ,-99, , ,-99, , ,make no difference, , ,1,10,13, ,16,11, ,13,4, ,4,I was born here., , ,25, , , , , , ,26,1, 
2/21/2024 1:20:26,2/21/2024 2:13:55,100,3209,1,2/21/2024 2:13:57,R_11cBAnSXs4PJ5XG,39.632,-84.2634,EN,1,78,1,4,4,5,2,3,2,3,5,3,4,1,3,5,Food related needsI think it did me good and this good made me very happy,3, ,1, , ,1, , ,1, , ,1,"The community regularly carries out charity picking experience activities to give mature vegetables to the elderly, retired cadres and people in need in the community.",13,"Establish public Spaces within immigrant communities, such as parks or community gathering squares, so that foreign immigrants can fully engage with ""local"" society at different times and occasions.", ,7,"I think COVID-19 has had a negative impact on my personal mental health, and it has damaged my physical health, which makes me feel bad inside.",3,1,1,"I have used the medical center in my community, which provides basic medical services such as outpatient consultations, vaccinations and physical examinations, which is convenient for me.", ,"I think my experience is good, it's good for me.",2, , , , ,1,6,6,4,5,5,4, , , , , , , , , ,4,4,4,4,3,3,3,4,4,4,-99, , ,-99, , ,-99, , ,"I'm sorry, that's a good question. Please let me think about it.", , ,2,11,13, ,16,11, ,12,4, ,5,from birth, , ,26,1,1, , , , ,26,1, 
3/2/2024 23:59:21,3/3/2024 0:48:43,100,2962,1,3/3/2024 0:48:44,R_6FDnLmf6Mk6c1Dk,37.1835,-121.7714,EN,1,75,1,7,7,7,7,5,7,6,6,5,7,4,3,7,Gonggongfa, , ,1, , ,1, , ,5, , ,1,The community can give it to me according to my situation., ,"When I have difficulties, I will seek the help of the community, and the community will give me timely support and help.",4,7,"The epidemic has seriously affected my health. My community needs are to help me and help me contact the hospital and medical staff. The community was in a hurry, and helped me contact the hospital and medical staff as quickly as possible, and I was treated in time.",3,1,2, , , , , , ,"Because I am young and healthy,I didn't think it was necessary when I was not sick. Later, because I was weak, I could only ask the community.I didn't have any concerns that hindered me before, but I just felt that I didn't",1,1,6,7,6,7,7,6,5, , ,5, , ,6, , ,4,4,4,4,4,4,4,4,4,4,-99, , ,-99, , ,-99, , ,"During the epidemic period, the traditional service mode of public libraries was restricted, such as lending service and entity activities. However, the epidemic has also prompted public libraries to accelerate the digital transformation and continue to provide services to users through online resource provision and virtual activities. In addition, public libraries can also play the role of information dissemination and education during the epidemic period, and provide the public with reliable epidemic information and related knowledge.
1. Strengthen digital services: continue to promote the construction and provision of digital resources, including e-books, online databases, digital exhibitions, etc., in order to meet users' needs for distance learning and entertainment. 2. Provide online activities and training: use the network platform to hold virtual lectures, online courses, book clubs and other activities to provide users with opportunities for learning and communication. 3. Strengthen community cooperation: cooperate with local community organizations, schools and enterprises to jointly carry out educational projects, cultural activities and community services, and expand the influence and service scope of the library. 4. Pay attention to users' needs: understand the special needs of users during the epidemic and provide targeted services, such as mental health support and career development guidance.", , ,1,10,12, ,12,9, ,12,5, ,4,four,4,1,26, ,1, , , , ,26,1,1
2/13/2024 12:03:28,2/13/2024 12:12:48,100,560,1,2/13/2024 12:12:49,R_3JKORPwj0dyzp0J,39.8335,-84.8983,EN,1,99,1,3,7,7,7,7,7,5,7,7,7,7,5,7,People's welfare has been given up on by politicians in this state,2, , , , ,-99, , ,-99, , ,-99,"I couldn't drive for a while. Was never able to utilize the bus system because of the times of day I worked, also had to use taxis during this time.",10, , ,4,"Definitely. The economy is in wild shambles for the average person. Money is tight, prices are obscene, an unforseen cost will bankrupt someone out of their house or job. Medical and psychological assistance are behind massive waiting lines.",4,3,-99, , , , , , , , ,1,4,7,7,7,7,7, , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,-99, , ,-99, , ,-99, , , , , ,2,11,14, ,12,12, ,12,4, ,4,Five years,5,1,26, ,1, , , , ,26,1,1
2/21/2024 20:59:46,2/21/2024 21:06:10,100,383,1,2/21/2024 21:06:10,R_1u1wqSQIRYOFQgV,34.0544,-118.2441,EN,1,57,1,6,5,7,7,4,5,2,2,5,3,1,7,1,Because there are homeless people nearby, , , , , ,-99, , ,-99, , ,2, , , , ,4,"Very big influence, I can't help it", ,1,2, , , , , , ,Because I didn't know these services existed.,4,1,6,7,6,3,3,2,3,seek, ,6,sanitary towel, ,7,Quiet environment, ,3,2,4,2,1,4,2,3,4,4,-99, , ,-99, , ,-99, , , , , ,1,13,13, ,14,11, ,13,4, ,5,five years,5,1,26,1,1, , , , ,26,1,1
2/21/2024 7:09:50,2/21/2024 7:12:26,100,156,1,2/21/2024 7:12:26,R_1S2g2Y4GfFuAH1e,37.1835,-121.7714,EN,1,56,1,4,3,4,3,4,4,5,3,4,3,4,4,4, , , ,3, , ,2, , ,3, , ,1, , , , ,3, , ,1,1, , , , , , , , ,1,2,4,5,4,3,5,2, , ,2, , ,4, , ,4,3,2,2,1,1,1,4,2,3,2, , ,3, , ,3, , , , , ,1,10,12, ,12,8, ,13,8, ,4,Collinsville, , ,26, , , , , , ,26,1, 
2/14/2024 4:52:22,2/14/2024 5:04:14,100,711,1,2/14/2024 5:04:15,R_1w0I7rOjEy36LmN,39.8335,-84.8983,EN,1,99,1,4,4,2,2,4,2,4,4,4,4,4,4,4,Lack of follow up by professionals on kids that should be in school but are not,5,1, , , ,-99, , ,-99, , ,2, , , , ,5, , ,3,-99, , , , , , , , ,1,7,7,4,7,7,7, , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,-99, , ,-99, , ,-99, , ,I don’t think so, , ,1,14,13, ,15,14,Retired,14,4, ,5,All my life, , ,26, ,1, , ,1,Home,26,1, 
2/21/2024 10:25:42,2/21/2024 10:46:42,100,1260,1,2/21/2024 10:46:43,R_7whPUiA7pQ2N4Ia,38.4934,-86.0139,EN,1,71,1,3,2,5,6,1,1,6,2,7,7,5,2,1,One of the two that I listed as having great needs was Mental Health Issues and Services Where I live there is a huge amount of stigma surrounding mental health issues There is support for substance abuse issues but there is no dedicated womens shelter for women going through domestic violence and there are not a lot of options if any for therapy and psychiatric care,8,2, , , ,-99, , ,-99, , ,1,"I have experienced the fact that there is a lack of nutrition education in Jackson county. Most people here count mashed potatoes as a vegetable and don't see anything wrong with that. 
I have experienced the issues with availability of child care. There aren't a lot of reputable places in Jackson county for kids under school age, and it was hard to find someone for my daughter. 
I have experienced the lack of health care. The pharmacy that will take my insurance is out of one of my medications and does not know when it will be refilled. 
I have experienced mental health issues. There is a lot of stigma in Jackson county and the general public seems to be uneducated or wrongly educated about mental illness outside of substance abuse. There aren't many therapy services or psychiatrists. There is also no dedicated women's shelter for women escaping domestic violence. 
There is no public transportation in Jackson county, and my household can only afford one car. 
I have experienced a lack of social connection here, since everything is so rural and there's not a lot to do.",3,"I have tried educating my husband's family about proper nutrition. I have not used any resources except the internet. 
With availability of child care, I went to the public library and asked if they had any recommendations. They were not too helpful. 
I try to be open about my experience with mental illness in an attempt to combat stigma. When I feel that someone is wrong, I tell them if I feel comfortable doing so. There aren't really any local resources I have found to support me.
As far as social connection goes, a board game store opened a few years ago in town and I will sometimes go there on board game or MTG nights.",2,4,"I am not too familiar with how the COVID pandemic has impacted this community, but I do know that masks are still offered at doctors offices and the library. People here seemed to think that Covid was a hoax and did not take it too seriously",8,3,-99, , , , , , , , ,1,7,7,4,7,7,7, , , , , , , , , ,4,4,2,4,4,3,2,4,4,4,-99, , ,-99, , ,-99, , ,It has not. I see libraries about the same now as I did before, , ,1,10,13, ,14,9, ,14,4, ,5,A little over two years,2,1,26,1,1,1, , , ,26,1,1
3/4/2024 7:29:39,3/4/2024 7:38:04,100,505,1,3/4/2024 7:38:05,R_5E42o9LwdlveSox,38.9582,-85.8875,EN,1,56,1,5,4,5,6,6,5,7,5,6,4,4,4,5, , , , , , ,-99, , ,-99, , ,1, , , , ,5, , ,1,1, , , , , , , , ,1,4,4,5,6,6,5, , , , , , , , , ,3,4,3,4,3,3,3,4,3,4,-99, , ,-99, , ,-99, , , , , ,1,11,12, ,16,11, ,12,4, ,5,9 years,9,2,26,1,1, , , , ,26,1,2
2/13/2024 22:07:29,2/13/2024 22:09:23,100,113,1,2/13/2024 22:09:24,R_1gZyJGfvwIbEfum,39.4234,-76.7762,EN,1,99,1,4,5,4,6,4,5,6,4,4,5,6,6,6, , , , , , ,-99, , ,-99, , ,2, , , , ,7, , ,1,1, , , , , , , , ,1,6,7,7,6,7,5, , , , , , , , , ,4,4,4,2,1,4,4,4,3,4,-99, , ,-99, , ,-99, , , , , ,1,13,13, ,14,12, ,12,7, ,5,9  years,9,2,26,1,1,1, , , ,26,1,2
2/19/2024 5:07:19,2/19/2024 5:11:14,100,235,1,2/19/2024 5:11:15,R_76lruQ0bXk6tnZD,37.7548,-84.2985,EN,1,63,1,2,1,4,1,4,4,2,2,4,2,1,3,4, , , , , , ,-99, , ,-99, , ,1, , , , ,3, , ,1,1, , , , , , , , ,1,2,3,4,2,1,3,1,NA, ,1,NA, ,1,NA, ,3,1,4,3,2,3,1,2,3,1,-99, , ,-99, , ,-99, , , , , ,2,16,15, ,12,11, ,14,6, ,6,9,9,2,26,1,1, , , , ,26,1,2
